group,action,target,refs,linking_pages
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/related-posts/static/thumbs/30.jpg,1,blog/why-people-fail-at-learning-languages-and-why-you-wont-be-one-of-them/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/related-posts/static/thumbs/15.jpg,1,blog/お巫山戯、日本語で-halloween-spectacular-zombie-vs-3-chibi-chans/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/images/kanjiposterbox.jpg,14,blog/ajatt-plus-is-here-and-things-that-once-were-forbidden-are-no-longer-forbidden/index.html | blog/consulting/index.html | blog/lard-the-little-red-dao-of-ajatt-yours-is-here/index.html | blog/「光の雨」を見終わっ/index.html | blog/お巫山戯、日本語で-japanese-babies-that-suck-even-harder-than-you/index.html | blog/ジブリ、嫌い/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",images/monodicsample.jpg,4,blog/author/momoko/feed/index.html | blog/category/momokos-musings/feed/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/images/ass-medium.png,3,blog/advertise/index.html | blog/ajatt-plus-info/index.html | blog/ジブリ、嫌い/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/getyoursnow-1.png,3,blog/how-to-read-and-write-awesome-japanese-text-sms-messages/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/ajattpluslogo-300x259.png,1,blog/ajatt-plus-info/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",images/nihongojoto/nihongo-joto-01.png,1,blog/category/podcasts/feed/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",images/nihongojoto/nihongo-joto-02.png,1,blog/category/podcasts/feed/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",images/nihongojoto/nihongo-joto-03.png,1,blog/category/podcasts/feed/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",images/nihongojoto/nihongo-joto-04.png,1,blog/category/podcasts/feed/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",images/nihongojoto/nihongo-joto-05.png,1,blog/category/podcasts/feed/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",images/animereal/rotate.png,1,blog/how-real-is-anime-japanese/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/images/khatzkenjifinal.jpg,1,blog/patreon/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/donald-trump-funny-face-300x300-e1458101217656-300x150.jpg,1,blog/the-trumpinator/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/donald-trump-has-surged-to-the-top-of-2-new-2016-polls-e1458101615537-300x101.jpg,1,blog/the-trumpinator/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/donald-trump-think-big-kick-ace-details-678x1024.png,1,blog/the-trumpinator/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/trump-un-poquito-e1458266446555-1024x579.jpg,1,blog/the-trumpinator/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",wp-includes/images/smilies/frownie.png,1,blog/too-much-technique-too-little-volume-それ以前の問題/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",wp-includes/images/smilies/simple-smile.png,1,blog/too-much-technique-too-little-volume-それ以前の問題/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/190432664_150_150.jpg,1,blog/what-is-imx-polyglot/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/246025535_150_150.jpg,1,blog/what-is-imx-polyglot/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/249189614_150_150.jpg,1,blog/what-is-imx-polyglot/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/noimg_3_150_150.jpg,1,blog/what-is-imx-polyglot/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/noimg_5_150_1501.jpg,1,blog/what-is-imx-polyglot/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/data/noimg_7_150_150.jpg,1,blog/what-is-imx-polyglot/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",secure.gravatar.com/images/grav-share-sprite.png,1,blog/wp-content/plugins/jetpack/css/jetpackbf7d.css
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/images/nihongojoto/nihongo-joto-01.png,1,blog/日本語上等pod…cast-episode-2-script-manga/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/images/nihongojoto/nihongo-joto-02.png,1,blog/日本語上等pod…cast-episode-2-script-manga/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/images/nihongojoto/nihongo-joto-03.png,1,blog/日本語上等pod…cast-episode-2-script-manga/index.html
E. Missing image,"try the Wayback Machine, else drop the <img>",blog/images/kenjimago.jpg,1,blog/白人ってサァ・・・どんだけぇ？/index.html
H. Missing media/download,"try the Wayback Machine, else note it as lost",audio/episode2.mp3,1,blog/category/podcasts/feed/index.html
H. Missing media/download,"try the Wayback Machine, else note it as lost",audio/episode3.mp3,1,blog/category/podcasts/feed/index.html
H. Missing media/download,"try the Wayback Machine, else note it as lost",data/トニーさんのスクリプト圭子添削済み.doc,1,blog/category/podcasts/feed/index.html
H. Missing media/download,"try the Wayback Machine, else note it as lost",data/katolomb.pdf,1,blog/if-immersion-works-so-well-then-why-can-people-live-in-a-country-for-double-digit-years-and-never-learn-the-language/index.html
H. Missing media/download,"try the Wayback Machine, else note it as lost",blog/audio/episode2.mp3,1,blog/日本語上等podcast-episode-2/index.html
H. Missing media/download,"try the Wayback Machine, else note it as lost",blog/data/トニーさんのスクリプト圭子添削済み.doc,1,blog/日本語上等pod…cast-episode-2-script-manga/index.html
H. Missing media/download,"try the Wayback Machine, else note it as lost",blog/audio/episode3.mp3,1,blog/日本語上等pod…cast-episode-3/index.html
